nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
BADAN OTORITA PENGELOLA PANTAI UTARA JAWA,SEKRETARIAT BADAN OTORITA PENGELOLA PANTAI UTARA JAWA - 691864,10144238000,67107906;67294963,2026,Tender,APBN,,Seleksi,Jasa Konsultansi Badan Usaha Non Konstruksi,Kajian Awal Sosial engineering di Kabupaten Demak,BERLANGSUNG,353117640,353117640
BADAN OTORITA PENGELOLA PANTAI UTARA JAWA,SEKRETARIAT BADAN OTORITA PENGELOLA PANTAI UTARA JAWA - 691864,10144270000,67294219;67294924,2026,Tender,APBN,,Seleksi,Jasa Konsultansi Badan Usaha Non Konstruksi,Jasa Konsultansi Penyusunan Dokumen Penyiapan Proyek PHLN Pantura Jawa,BERLANGSUNG,1384279998,1384279998
